0.23	0.21	0.56	77.919	3.505	1.813	4.545	7.527	
0.23	0.81	0.56	82.117	2.293	2.142	6.828	10.125	
0.23	1.41	0.56	70.602	3.316	2.396	10.576	13.261	
0.23	2.01	0.56	47.821	2.905	2.410	17.368	15.680	
0.23	2.61	0.56	28.391	2.432	2.291	30.529	15.733	
0.23	3.21	0.56	17.228	2.098	2.544	48.716	14.550	
0.23	3.81	0.56	10.816	1.821	2.827	64.674	12.582	
0.23	4.41	0.56	6.632	1.587	3.209	67.611	9.791	
0.23	5.01	0.56	4.305	1.279	3.082	58.962	7.023	
0.83	5.01	0.56	4.239	1.602	4.886	50.023	9.462	
0.83	4.41	0.56	6.298	1.867	4.928	57.472	13.142	
0.83	3.81	0.56	10.051	2.501	5.097	53.710	19.958	
0.83	3.21	0.56	15.769	3.131	4.686	42.093	24.826	
0.83	2.61	0.56	24.088	3.673	4.411	28.129	27.002	
0.83	2.01	0.56	40.442	4.212	3.812	15.958	26.070	
0.83	1.41	0.56	58.232	4.775	3.159	9.476	20.444	
0.83	0.81	0.56	68.032	4.868	2.609	6.243	13.558	
0.83	0.21	0.56	64.095	4.322	2.081	4.118	8.952	
1.43	0.21	0.56	45.609	7.245	2.514	3.740	10.823	
1.43	0.81	0.56	47.560	7.611	3.264	5.433	17.574	
1.43	1.41	0.56	43.442	6.895	4.047	8.156	27.008	
1.43	2.01	0.56	31.697	6.181	5.205	12.874	37.008	
1.43	2.61	0.56	20.858	5.247	6.482	20.490	39.901	
1.43	3.21	0.56	13.808	4.181	7.479	30.507	35.662	
1.43	3.81	0.56	9.207	3.134	8.236	37.662	27.408	
1.43	4.41	0.56	5.909	2.345	8.175	39.858	17.782	
1.43	5.01	0.56	4.089	1.981	7.466	35.695	11.264	
2.03	5.01	0.56	3.988	2.333	11.848	23.406	12.832	
2.03	4.41	0.56	5.379	2.969	13.535	24.783	20.489	
2.03	3.81	0.56	7.821	4.113	13.877	23.083	33.370	
2.03	3.21	0.56	11.049	5.630	12.224	19.331	45.485	
2.03	2.61	0.56	15.903	7.732	9.690	14.200	51.085	
2.03	2.01	0.56	22.418	9.606	7.224	9.728	46.669	
2.03	1.41	0.56	27.985	11.601	5.397	6.461	34.620	
2.03	0.81	0.56	30.311	12.658	4.079	4.536	21.621	
2.03	0.21	0.56	28.459	12.508	2.971	3.102	12.081	
2.63	0.21	0.56	17.148	22.344	3.533	2.491	12.649	
2.63	0.81	0.56	17.845	23.094	5.198	3.567	23.265	
2.63	1.41	0.56	17.167	20.908	7.050	4.737	36.038	
2.63	2.01	0.56	14.497	17.112	10.230	6.673	49.342	
2.63	2.61	0.56	11.212	12.009	14.997	9.113	54.536	
2.63	3.21	0.56	8.504	8.205	20.647	11.098	48.423	
2.63	3.81	0.56	6.278	5.505	24.414	13.043	34.475	
2.63	4.41	0.56	4.649	3.669	23.213	14.470	20.725	
2.63	5.01	0.56	3.788	2.854	20.964	13.640	13.196	
3.23	5.01	0.56	3.279	3.915	32.699	8.348	11.769	
3.23	4.41	0.56	3.870	4.634	37.975	8.447	18.654	
3.23	3.81	0.56	4.985	6.928	38.597	7.724	30.285	
3.23	3.21	0.56	6.226	10.851	31.734	6.795	40.970	
3.23	2.61	0.56	7.730	17.550	21.452	5.722	45.737	
3.23	2.01	0.56	9.414	26.524	13.533	4.652	41.693	
3.23	1.41	0.56	10.558	34.871	8.859	3.496	31.570	
3.23	0.81	0.56	10.885	38.351	6.074	2.711	20.499	
3.23	0.21	0.56	9.968	37.409	4.050	1.944	11.515	
3.83	0.21	0.56	6.570	53.096	4.426	1.563	9.404	
3.83	0.81	0.56	6.918	56.863	7.006	2.120	15.995	
3.83	1.41	0.56	6.864	49.965	10.193	2.594	22.427	
3.83	2.01	0.56	6.262	35.844	16.861	3.301	28.409	
3.83	2.61	0.56	5.427	22.293	27.301	3.919	30.586	
3.83	3.21	0.56	4.869	13.646	40.179	4.489	29.649	
3.83	3.81	0.56	3.937	7.854	51.926	5.194	22.106	
3.83	4.41	0.56	3.158	6.324	52.891	5.343	14.480	
3.83	5.01	0.56	2.813	5.221	44.389	5.391	9.887	
4.43	5.01	0.56	2.403	5.884	50.812	3.981	7.589	
4.43	4.41	0.56	2.579	7.105	60.492	4.089	10.434	
4.43	3.81	0.56	3.004	8.020	59.469	3.982	14.465	
4.43	3.21	0.56	3.543	13.878	46.778	3.434	18.105	
4.43	2.61	0.56	4.022	24.095	30.315	2.893	18.863	
4.43	2.01	0.56	5.130	41.841	18.119	2.677	18.081	
4.43	1.41	0.56	4.873	58.802	11.364	1.993	14.654	
4.43	0.81	0.56	5.679	78.971	8.251	2.063	12.637	
4.43	0.21	0.56	6.884	94.432	6.654	1.811	8.683	
5.03	0.21	0.56	3.631	64.131	4.455	0.785	5.240	
