2.03	1.41	0.584	32.558	6.1202	11.677	7.2566	40.387	0.12247	0.37997	0.072346	0.23485	0.3501	0.52176	1.5129	0.27511	0.825	1.436
2.03	0.81	0.584	35.878	4.5776	12.447	4.5995	25.089	0.093599	0.32961	0.0729	0.15357	0.24526	0.45086	1.158	0.26525	0.62978	1.0435
2.03	0.21	0.584	34.069	3.4127	12.1	2.6316	13.972	0.090504	0.25733	0.079269	0.097914	0.18837	0.37923	0.85295	0.34765	0.36719	0.83829
2.63	0.21	0.584	20.825	3.8028	20.474	2.3739	14.266	0.087653	0.16837	0.099887	0.082306	0.17897	0.42268	0.596	0.41725	0.34399	0.80797
2.63	0.81	0.584	20.935	5.8992	23.02	4.0202	27.225	0.079937	0.20816	0.10439	0.14765	0.2301	0.347	0.76281	0.38765	0.57336	0.80786
2.63	1.41	0.584	20.755	7.8255	20.597	5.7614	42.559	0.073595	0.25439	0.1029	0.19097	0.33156	0.32387	0.94553	0.44668	0.71179	1.4893
2.63	2.01	0.584	18.034	11.869	17.103	8.585	58.253	0.1436	0.28972	0.088295	0.27716	0.49684	0.62493	1.1869	0.39134	1.0675	1.9369
2.63	2.61	0.584	14.247	17.092	13.229	12.01	64.556	0.23296	0.27634	0.074224	0.38065	0.64397	0.84079	1.0754	0.32142	1.4603	2.2919
2.63	3.21	0.584	10.747	23.046	9.3074	15.512	56.751	0.2906	0.33144	0.067621	0.49228	0.55302	1.061	1.22	0.32301	1.7097	2.3181
2.63	3.81	0.584	7.7862	26.415	6.1599	17.677	40.985	0.24966	0.33045	0.051726	0.57523	0.43596	1.1028	1.2055	0.23094	1.8084	1.7066
2.63	4.41	0.584	5.4265	26.444	4.2324	18.898	24.652	0.18262	0.32232	0.051972	0.60647	0.24473	0.78952	1.2118	0.22416	1.9299	1.0152
2.63	5.01	0.584	4.3258	22.46	3.1357	18.112	15.108	0.1448	0.27676	0.038395	0.5441	0.2298	0.62521	1.1933	0.14513	1.7353	1.054
3.23	5.01	0.584	4.0406	39.061	3.5579	11.559	14.744	0.16112	0.5037	0.040746	0.35785	0.18141	0.70899	2.0354	0.19727	1.2651	0.8298
3.23	4.41	0.584	4.7833	45.819	4.7662	11.872	23.084	0.20308	0.56004	0.059917	0.38358	0.26212	0.81181	1.9149	0.30831	1.2634	1.1002
3.23	3.81	0.584	6.3778	45.022	8.0587	11.173	37.725	0.37324	0.59237	0.068346	0.37272	0.33198	1.3551	2.1325	0.2999	1.2187	1.2146
3.23	3.21	0.584	8.2052	37.978	12.912	9.8114	51.232	0.33671	0.45972	0.084451	0.33687	0.47083	1.1149	1.6451	0.44214	1.1521	1.5508
3.23	2.61	0.584	10.139	25.665	19.077	8.0815	56.899	0.30966	0.36454	0.10304	0.27094	0.48812	1.026	1.328	0.42677	0.95564	1.7324
3.23	2.01	0.584	11.889	16.176	28.75	6.283	50.76	0.15358	0.26344	0.13671	0.21283	0.47476	0.57424	1.1656	0.48333	0.70633	1.681
3.23	1.41	0.584	13.393	9.9419	35.903	4.5984	39.149	0.094394	0.18889	0.20586	0.1612	0.29164	0.38362	0.73428	0.68498	0.67154	1.1024
3.23	0.81	0.584	13.483	6.8234	40.534	3.4082	25.792	0.096933	0.14318	0.25035	0.12234	0.19823	0.39096	0.60232	0.76837	0.52328	0.83199
3.23	0.21	0.584	12.862	4.2887	38.297	2.166	13.936	0.10956	0.13535	0.29349	0.088313	0.12724	0.51302	0.52824	1.1382	0.3084	0.60303
3.83	0.21	0.584	8.9174	4.4665	59.087	1.9331	11.71	0.14072	0.10608	0.47517	0.083592	0.15054	0.54948	0.47562	1.6023	0.31947	0.6692
3.83	0.81	0.584	9.3312	7.3501	62.916	2.8261	20.439	0.13309	0.12663	0.42872	0.11091	0.19748	0.52412	0.55424	1.364	0.46947	0.85104
